    1         1        15
    2        16        36
    3        37        53
    4        54        74
    5        75        95
    6        96       118
    7       119       137
    8       138       155
    9       156       172
   10       173       193
   11       194       210
   12       211       228
   13       229       249
   14       250       272
   15       273       288
   16       289       325
   17       326       353
   18       354       384
   19       385       403
   20       404       421
   21       422       439
   22       440       455
   23       456       471
   24       472       491
   25       492       507
   26       508       541
   27       542       555
   28       556       578
   29       579       603
   30       604       617
   31       618       638
   32       639       674
   33       675       695
   34       696       717
   35       718       743
   36       744       761
   37       762       791
   38       792       809
   39       810       828
   40       829       867
   41       868       889
   42       890       909
   43       910       936
   44       937       954
   45       955       970
   46       971       987
   47       988      1005
   48      1006      1022
   49      1023      1041
   50      1042      1060
   51      1061      1077
   52      1078      1093
   53      1094      1112
   54      1113      1130
   55      1131      1146
   56      1147      1173
   57      1174      1197
   58      1198      1211
   59      1212      1225
   60      1226      1240
   61      1241      1263
   62      1264      1278
   63      1279      1292
   64      1293      1313
   65      1314      1335
   66      1336      1358
   67      1359      1379
   68      1380      1396
   69      1397      1409
   70      1410      1426
   71      1427      1441
   72      1442      1486
   73      1487      1504
   74      1505      1542
   75      1543      1582
   76      1583      1599
   77      1600      1626
   78      1627      1644
   79      1645      1668
   80      1669      1703
   81      1704      1720
   82      1721      1744
   83      1745      1763
   84      1764      1787
   85      1788      1805
   86      1806      1826
   87      1827      1840
   88      1841      1863
   89      1864      1888
   90      1889      1912
   91      1913      1931
   92      1932      1949
   93      1950      1979
   94      1980      2001
   95      2002      2020
   96      2021      2038
   97      2039      2054
   98      2055      2087
   99      2088      2108
  100      2109      2133
  101      2134      2151
  102      2152      2181
  103      2182      2210
  104      2211      2230
  105      2231      2246
  106      2247      2274
  107      2275      2323
  108      2324      2341
  109      2342      2366
  110      2367      2395
  111      2396      2410
  112      2411      2427
  113      2428      2444
  114      2445      2457
  115      2458      2480
  116      2481      2498
  117      2499      2518
  118      2519      2553
  119      2554      2587
  120      2588      2612
  121      2613      2643
  122      2644      2659
  123      2660      2672
  124      2673      2694
  125      2695      2708
  126      2709      2724
